Energy & Transportation,Manufacturing,Industrial Applications & Services,Financials,Life Sciences,Real Estate & Construction,Trade & Services,Technology
1000,2000,100,6021,2833,1520,5000,3510
1040,2011,200,6022,2834,1531,5010,3523
1090,2013,700,6029,2835,1540,5013,3524
1220,2015,800,6035,2836,1600,5020,3530
1221,2020,900,6036,,1623,5030,3531
1311,2024,2800,6099,,1700,5031,3532
1381,2030,2810,6111,,1731,5040,3533
1382,2033,2820,6141,,6500,5045,3537
1389,2040,2821,6153,,6510,5047,3540
1400,2050,2840,6159,,6512,5050,3541
2911,2052,2842,6162,,6513,5051,3550
2950,2060,2844,6163,,6519,5063,3555
2990,2070,2851,6172,,6531,5064,3559
4011,2080,2860,6200,,6532,5065,3560
4013,2082,2870,6211,,6552,5070,3561
4100,2086,2890,6282,,6770,5072,3562
4210,2090,2891,6311,,6792,5080,3564
4213,2092,3080,6321,,6794,5082,3567
4220,2100,3081,6324,,6795,5084,3569
4231,2111,3086,6331,,6798,5090,3570
4400,2200,3089,6351,,6799,5094,3571
4412,2211,3821,6361,,7000,5099,3572
4512,2221,3822,6399,,7011,5110,3575
4513,2250,3823,6411,,9995,5122,3576
4522,2253,3824,6221,,,5130,3577
4581,2273,3825,6199,,,5140,3578
4610,2300,3826,8880,,,5141,3579
4700,2320,3827,8888,,,5150,3580
4731,2330,3829,9721,,,5160,3585
4900,2340,3841,6189,,,5171,3590
4911,2390,3842,,,,5172,4812
4922,2400,3843,,,,5180,4813
4923,2421,3844,,,,5190,4822
4924,2430,3845,,,,5200,4832
4931,2451,3851,,,,5211,4833
4932,2452,3861,,,,5271,4841
4941,2510,3873,,,,5311,4899
4950,2511,8000,,,,5331,7370
4953,2520,8011,,,,5399,7371
4955,2522,8050,,,,5400,7372
4961,2531,8051,,,,5411,7373
4991,2540,8060,,,,5412,7374
,2590,8062,,,,5500,
,2600,8071,,,,5531,
,2611,8082,,,,5600,
,2621,8090,,,,5621,
,2631,8093,,,,5651,
,2650,8300,,,,5661,
,2670,8731,,,,5700,
,2673,8734,,,,5712,
,2711,,,,,5731,
,2721,,,,,5734,
,2731,,,,,5735,
,2732,,,,,5810,
,2741,,,,,5812,
,2750,,,,,5900,
,2761,,,,,5912,
,2771,,,,,5940,
,2780,,,,,5944,
,2790,,,,,5945,
,3011,,,,,5960,
,3021,,,,,5961,
,3050,,,,,5990,
,3060,,,,,7200,
,3100,,,,,7310,
,3140,,,,,7311,
,3211,,,,,7320,
,3220,,,,,7330,
,3221,,,,,7331,
,3231,,,,,7340,
,3241,,,,,7350,
,3250,,,,,7359,
,3260,,,,,7361,
,3270,,,,,7363,
,3272,,,,,7377,
,3281,,,,,7380,
,3290,,,,,7381,
,3310,,,,,7384,
,3312,,,,,7385,
,3317,,,,,7389,
,3320,,,,,7500,
,3330,,,,,7510,
,3334,,,,,7600,
,3341,,,,,7812,
,3350,,,,,7819,
,3357,,,,,7822,
,3360,,,,,7829,
,3390,,,,,7830,
,3411,,,,,7841,
,3412,,,,,7900,
,3420,,,,,7948,
,3430,,,,,7990,
,3433,,,,,7997,
,3440,,,,,8111,
,3442,,,,,8200,
,3443,,,,,8351,
,3444,,,,,8600,
,3448,,,,,8700,
,3451,,,,,8711,
,3452,,,,,8741,
,3460,,,,,8742,
,3470,,,,,8744,
,3480,,,,,,
,3490,,,,,,
,3600,,,,,,
,3612,,,,,,
,3613,,,,,,
,3620,,,,,,
,3621,,,,,,
,3630,,,,,,
,3634,,,,,,
,3640,,,,,,
,3651,,,,,,
,3652,,,,,,
,3661,,,,,,
,3663,,,,,,
,3669,,,,,,
,3670,,,,,,
,3672,,,,,,
,3674,,,,,,
,3677,,,,,,
,3678,,,,,,
,3679,,,,,,
,3690,,,,,,
,3695,,,,,,
,3711,,,,,,
,3713,,,,,,
,3714,,,,,,
,3715,,,,,,
,3716,,,,,,
,3720,,,,,,
,3721,,,,,,
,3724,,,,,,
,3728,,,,,,
,3730,,,,,,
,3743,,,,,,
,3751,,,,,,
,3760,,,,,,
,3790,,,,,,
,3812,,,,,,
,3910,,,,,,
,3911,,,,,,
,3931,,,,,,
,3942,,,,,,
,3944,,,,,,
,3949,,,,,,
,3950,,,,,,
,3960,,,,,,
,3990,,,,,,